time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),et0_fao_evapotranspiration (mm)
1712786400,3,16.6,1.4,9.9,0.00,0.00,0.00,3.11
1712872800,2,19.4,3.9,11.7,0.00,0.00,0.00,3.40
1712959200,1,21.9,7.0,14.5,0.00,0.00,0.00,3.42
1713045600,51,21.6,10.8,16.3,0.30,0.30,0.00,3.43
1713132000,55,15.8,7.0,12.1,2.90,2.90,0.00,2.43
1713218400,73,9.1,4.0,6.2,7.30,6.70,0.42,1.68
1713304800,51,9.4,2.5,5.6,1.40,1.40,0.00,1.46
1713391200,73,8.4,0.0,4.3,4.60,2.60,1.40,1.79
1713477600,55,5.8,2.4,4.4,7.80,7.80,0.00,0.76
1713564000,71,8.1,3.3,5.4,3.10,2.80,0.21,1.60
1713650400,73,6.0,1.6,3.8,10.20,8.30,1.33,0.91
1713736800,51,8.0,-1.5,3.7,1.00,1.00,0.00,2.55
1713823200,3,9.5,-0.8,4.8,0.00,0.00,0.00,2.33
1713909600,73,7.6,0.6,4.1,1.70,1.00,0.49,1.70
1713996000,73,9.1,1.5,4.7,2.30,1.60,0.49,1.89
1714082400,3,13.9,0.0,7.3,0.00,0.00,0.00,2.80
1714168800,3,19.5,2.6,11.8,0.00,0.00,0.00,4.16
1714255200,3,21.6,7.2,14.3,0.00,0.00,0.00,4.07
1714341600,51,21.6,9.1,15.2,0.30,0.30,0.00,3.72
1714428000,2,26.1,11.1,18.8,0.00,0.00,0.00,4.98
1714514400,1,24.9,13.7,19.1,0.00,0.00,0.00,5.15
1714600800,63,23.6,13.6,17.5,5.60,5.60,0.00,4.31
1714687200,53,13.9,10.0,12.2,1.20,1.20,0.00,1.89
1714773600,51,17.8,6.4,12.4,0.60,0.60,0.00,2.55
1714860000,63,17.8,11.2,14.0,6.20,6.20,0.00,2.38
1714946400,63,18.3,10.1,13.8,11.20,11.20,0.00,2.12
1715032800,51,15.9,10.8,12.4,2.10,2.10,0.00,1.64
1715119200,53,14.0,9.7,11.6,3.10,3.10,0.00,1.35
1715205600,3,19.3,6.3,13.5,0.00,0.00,0.00,3.71
1715292000,2,21.0,8.5,15.4,0.00,0.00,0.00,4.21
1715378400,2,21.9,8.8,16.0,0.00,0.00,0.00,4.27
1715464800,51,22.5,11.3,17.0,0.10,0.10,0.00,4.57
1715551200,1,23.4,10.9,17.3,0.00,0.00,0.00,4.84
1715637600,1,23.8,11.9,17.9,0.00,0.00,0.00,5.17
1715724000,3,24.3,12.6,18.5,0.00,0.00,0.00,5.19
1715810400,53,20.5,14.1,17.1,2.80,2.80,0.00,3.77
1715896800,55,14.9,11.7,13.5,5.40,5.40,0.00,1.83
1715983200,53,17.7,11.2,13.7,4.00,4.00,0.00,2.24
1716069600,61,19.2,10.4,14.5,3.50,3.50,0.00,3.46
1716156000,51,22.3,8.2,15.8,0.10,0.10,0.00,4.43
1716242400,63,20.8,13.7,16.9,12.60,12.60,0.00,2.18
1716328800,61,18.5,13.1,15.3,7.70,7.70,0.00,2.95
1716415200,61,20.7,9.9,15.6,1.80,1.80,0.00,4.11
1716501600,53,18.3,11.9,14.7,2.00,2.00,0.00,2.62
1716588000,51,19.8,9.6,14.5,1.00,1.00,0.00,3.19
1716674400,3,22.9,9.8,16.7,0.00,0.00,0.00,4.41
1716760800,51,20.8,13.9,17.0,1.30,1.30,0.00,3.17
1716847200,51,17.8,11.6,14.8,2.20,2.20,0.00,3.62
1716933600,53,19.6,9.3,14.5,2.10,2.10,0.00,2.81
1717020000,63,19.6,13.1,15.4,7.70,7.70,0.00,2.91
1717106400,55,15.7,10.3,13.4,9.80,9.80,0.00,1.18
1717192800,63,18.9,13.0,14.9,20.10,20.10,0.00,1.42
1717279200,63,20.1,13.1,16.3,9.20,9.20,0.00,2.35
1717365600,51,18.2,12.5,15.5,0.30,0.30,0.00,2.60
1717452000,51,20.7,9.9,16.0,0.20,0.20,0.00,3.78
1717538400,51,21.0,11.1,16.5,0.80,0.80,0.00,3.34
1717624800,53,22.1,11.6,17.3,1.10,1.10,0.00,4.21
1717711200,51,21.9,12.2,17.1,0.20,0.20,0.00,4.46
1717797600,3,25.0,10.5,17.9,0.00,0.00,0.00,5.08
1717884000,2,22.2,12.5,17.7,0.00,0.00,0.00,4.55
1717970400,51,20.9,12.4,16.5,0.10,0.10,0.00,4.53
1718056800,51,16.1,9.0,12.8,0.20,0.20,0.00,3.33
1718143200,51,17.7,6.8,13.1,0.80,0.80,0.00,4.01
1718229600,51,18.1,9.2,13.6,0.40,0.40,0.00,3.85
1718316000,53,18.6,10.1,14.3,2.90,2.90,0.00,2.19
1718402400,63,20.0,12.8,16.2,9.10,9.10,0.00,3.33
1718488800,2,21.8,8.8,16.3,0.00,0.00,0.00,4.40
1718575200,63,22.4,12.2,17.9,6.90,6.90,0.00,3.54
1718661600,1,28.4,12.8,20.9,0.00,0.00,0.00,5.16
1718748000,63,25.7,16.3,20.0,15.20,15.20,0.00,3.89
1718834400,53,26.4,12.7,19.8,0.80,0.80,0.00,3.66
1718920800,61,24.5,17.7,21.2,3.30,3.30,0.00,3.57
1719007200,55,23.0,14.4,18.1,2.30,2.30,0.00,4.22
1719093600,51,23.8,12.7,18.2,0.70,0.70,0.00,4.20
1719180000,3,24.8,14.5,20.2,0.00,0.00,0.00,4.75
1719266400,0,26.6,15.3,21.3,0.00,0.00,0.00,6.10
1719352800,51,28.3,17.6,22.8,0.60,0.60,0.00,4.81
1719439200,61,28.1,16.5,21.8,4.40,4.40,0.00,4.71
1719525600,61,26.5,17.9,21.8,3.10,3.10,0.00,4.30
1719612000,1,31.4,17.2,24.8,0.00,0.00,0.00,5.22
1719698400,63,25.3,16.6,21.3,17.20,17.20,0.00,3.43
1719784800,63,21.7,14.5,17.6,8.60,8.60,0.00,3.76
1719871200,51,18.6,11.2,15.3,1.10,1.10,0.00,3.10
1719957600,55,19.4,12.2,14.6,5.10,5.10,0.00,2.91
1720044000,61,20.5,9.8,14.7,5.90,5.90,0.00,2.67
1720130400,3,23.0,12.0,17.5,0.00,0.00,0.00,3.96
1720216800,61,27.6,13.4,19.2,4.80,4.80,0.00,3.97
1720303200,53,19.9,13.9,16.7,0.90,0.90,0.00,2.68
1720389600,2,25.4,10.4,18.6,0.00,0.00,0.00,4.86
1720476000,1,30.3,15.2,23.1,0.00,0.00,0.00,5.57
1720562400,55,28.1,18.0,22.2,1.50,1.50,0.00,3.83
1720648800,63,26.2,17.4,21.8,12.60,12.60,0.00,4.43
1720735200,63,27.3,18.0,21.1,19.30,19.30,0.00,3.31
1720821600,61,22.0,14.4,18.1,3.00,3.00,0.00,3.56
1720908000,55,25.4,12.9,19.2,1.80,1.80,0.00,4.80
1720994400,1,29.8,13.1,22.1,0.00,0.00,0.00,5.37
1721080800,63,25.6,17.8,21.6,6.30,6.30,0.00,4.77
1721167200,3,24.7,13.2,19.7,0.00,0.00,0.00,4.60
1721253600,3,27.1,12.9,20.9,0.00,0.00,0.00,4.69
1721340000,2,28.3,16.2,23.0,0.00,0.00,0.00,4.95
1721426400,53,27.9,18.0,23.2,1.80,1.80,0.00,4.72
1721512800,63,28.9,17.9,22.8,5.00,5.00,0.00,4.16
1721599200,51,24.8,18.8,21.6,0.60,0.60,0.00,3.61
1721685600,63,25.0,16.3,20.5,4.60,4.60,0.00,4.15
1721772000,55,22.5,15.4,18.6,2.70,2.70,0.00,3.52
1721858400,2,24.1,12.5,18.9,0.00,0.00,0.00,4.15
1721944800,3,25.6,14.2,20.3,0.00,0.00,0.00,3.81
1722031200,63,27.9,16.0,21.1,11.50,11.50,0.00,3.40
1722117600,63,23.8,17.0,20.0,6.00,6.00,0.00,4.28
1722204000,1,25.7,12.6,19.7,0.00,0.00,0.00,4.94
1722290400,2,28.4,13.6,21.5,0.00,0.00,0.00,5.11
1722376800,51,31.6,15.7,23.8,0.10,0.10,0.00,5.17
1722463200,65,27.2,17.7,21.5,40.10,40.10,0.00,3.16
1722549600,63,22.9,17.9,20.4,7.00,7.00,0.00,3.10
1722636000,53,25.9,14.0,19.9,1.50,1.50,0.00,3.85
1722722400,65,24.8,17.0,19.9,22.10,22.10,0.00,3.53
1722808800,3,23.2,16.1,19.3,0.00,0.00,0.00,3.74
1722895200,1,27.4,13.9,20.9,0.00,0.00,0.00,4.73
1722981600,55,28.4,16.9,21.5,3.60,3.60,0.00,3.85
1723068000,61,23.1,16.5,19.0,3.70,3.70,0.00,2.61
1723154400,3,25.9,12.3,19.9,0.00,0.00,0.00,3.68
1723240800,51,27.8,17.6,22.3,0.10,0.10,0.00,4.35
1723327200,1,29.0,14.1,22.2,0.00,0.00,0.00,4.76
1723413600,1,31.6,18.0,24.5,0.00,0.00,0.00,4.84
1723500000,51,31.9,18.5,25.0,0.40,0.40,0.00,4.56
1723586400,51,30.0,18.6,24.0,0.40,0.40,0.00,4.34
1723672800,3,28.2,17.5,23.0,0.00,0.00,0.00,3.99
1723759200,51,29.3,17.4,23.4,0.10,0.10,0.00,4.28
1723845600,51,27.8,17.8,22.9,0.10,0.10,0.00,4.14
1723932000,63,23.8,18.2,20.0,13.50,13.50,0.00,1.88
1724018400,61,22.8,15.6,18.4,4.70,4.70,0.00,2.75
1724104800,51,24.2,14.5,19.5,0.20,0.20,0.00,2.80
1724191200,51,21.5,14.1,18.5,0.30,0.30,0.00,3.82
1724277600,1,23.3,10.9,17.0,0.00,0.00,0.00,3.81
1724364000,1,27.8,11.5,19.3,0.00,0.00,0.00,4.58
1724450400,0,31.4,13.4,22.5,0.00,0.00,0.00,5.07
1724536800,63,23.0,15.0,19.1,5.00,5.00,0.00,2.60
1724623200,3,23.0,9.4,16.3,0.00,0.00,0.00,3.69
1724709600,1,26.1,11.5,19.3,0.00,0.00,0.00,4.35
1724796000,0,29.0,16.1,22.2,0.00,0.00,0.00,4.20
1724882400,1,31.0,16.5,23.7,0.00,0.00,0.00,4.22
1724968800,1,31.4,17.2,24.3,0.00,0.00,0.00,4.26
1725055200,1,30.1,18.8,24.3,0.00,0.00,0.00,4.48
1725141600,1,29.7,19.1,23.9,0.00,0.00,0.00,4.55
1725228000,1,27.5,17.9,21.8,0.00,0.00,0.00,3.35
1725314400,61,28.6,16.7,21.8,2.80,2.80,0.00,3.65
1725400800,51,27.5,16.1,21.3,0.60,0.60,0.00,3.03
1725487200,1,30.5,17.9,24.1,0.00,0.00,0.00,5.24
1725573600,51,26.9,18.7,23.0,0.10,0.10,0.00,4.27
1725660000,1,27.8,14.1,20.7,0.00,0.00,0.00,3.78
1725746400,63,27.2,14.0,19.7,8.80,8.80,0.00,2.92
1725832800,63,18.8,14.5,16.5,11.10,11.10,0.00,2.06
1725919200,53,18.1,13.8,15.4,2.10,2.10,0.00,2.34
1726005600,61,15.6,10.0,13.4,7.00,7.00,0.00,1.32
1726092000,53,13.8,7.4,10.5,2.20,2.20,0.00,1.81
1726178400,53,13.4,7.1,9.8,2.80,2.80,0.00,1.63
1726264800,53,13.9,8.4,10.6,2.70,2.70,0.00,1.78
1726351200,55,16.1,6.1,11.1,2.60,2.60,0.00,2.45
1726437600,61,13.2,9.9,11.2,15.30,15.30,0.00,0.73
1726524000,53,20.2,13.1,16.4,1.80,1.80,0.00,2.32
1726610400,1,23.1,14.0,18.0,0.00,0.00,0.00,3.75
1726696800,51,20.8,14.7,17.3,0.40,0.40,0.00,3.50
1726783200,1,22.6,11.8,16.8,0.00,0.00,0.00,3.34
1726869600,0,22.8,11.3,16.4,0.00,0.00,0.00,2.94
1726956000,1,23.0,9.9,15.9,0.00,0.00,0.00,2.53
1727042400,63,21.6,10.7,15.8,7.50,7.50,0.00,2.27
1727128800,63,18.5,13.4,15.1,12.50,12.50,0.00,2.08
1727215200,51,18.8,11.9,15.3,0.40,0.40,0.00,2.04
1727301600,61,18.4,13.5,15.5,14.50,14.50,0.00,1.19
1727388000,3,15.3,14.9,NaN,NaN,NaN,NaN,NaN
1727474400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
